005593.jpg 1 car.n.01 | boat.n.01
005593.jpg 2 person.n.01 | boat.n.01
005590.jpg 2 cat.n.01 | airplane.n.01
000099.jpg 1 cat.n.01 | bird.n.01
000095.jpg 1 train.n.01 | airplane.n.01
008722.jpg 1 cow.n.01 | horse.n.01
000093.jpg 2 chair.n.01 | boat.n.01
005116.jpg 1 motorcycle.n.01 | car.n.01
005116.jpg 2 motorcycle.n.01 | person.n.01
005116.jpg 3 motorcycle.n.01 | boat.n.01
005116.jpg 5 person.n.01 | boat.n.01
005116.jpg 6 person.n.01 | car.n.01
005116.jpg 8 motorcycle.n.01 | airplane.n.01
005116.jpg 9 person.n.01 | boat.n.01
009126.jpg 1 bus.n.01 | boat.n.01
005111.jpg 1 person.n.01 | boat.n.01
005110.jpg 1 car.n.01 | boat.n.01
005110.jpg 2 car.n.01 | boat.n.01
005110.jpg 3 car.n.01 | boat.n.01
005110.jpg 6 car.n.01 | airplane.n.01
000257.jpg 1 television_monitor.n.01 | airplane.n.01
009129.jpg 1 sofa.n.01 | car.n.01
000251.jpg 3 car.n.01 | boat.n.01
005379.jpg 1 dog.n.01 | horse.n.01
005378.jpg 1 chair.n.01 | airplane.n.01
009831.jpg 1 train.n.01 | airplane.n.01
009831.jpg 2 train.n.01 | airplane.n.01
009833.jpg 2 chair.n.01 | car.n.01
009833.jpg 3 chair.n.01 | airplane.n.01
009833.jpg 4 chair.n.01 | car.n.01
009833.jpg 6 chair.n.01 | airplane.n.01
009833.jpg 8 chair.n.01 | car.n.01
009833.jpg 9 chair.n.01 | sofa.n.01
005370.jpg 1 boat.n.01 | airplane.n.01
008612.jpg 2 horse.n.01 | bird.n.01
005687.jpg 1 dining_table.n.01 | chair.n.01
005687.jpg 2 plant.n.02 | boat.n.01
005687.jpg 5 plant.n.02 | boat.n.01
005687.jpg 6 chair.n.01 | airplane.n.01
005685.jpg 1 train.n.01 | airplane.n.01
009580.jpg 1 train.n.01 | airplane.n.01
005755.jpg 1 sofa.n.01 | chair.n.01
009586.jpg 1 cow.n.01 | horse.n.01
009236.jpg 2 person.n.01 | boat.n.01
005209.jpg 1 car.n.01 | boat.n.01
004150.jpg 1 cat.n.01 | airplane.n.01
009900.jpg 1 car.n.01 | airplane.n.01
009900.jpg 3 person.n.01 | boat.n.01
009900.jpg 4 person.n.01 | boat.n.01
008189.jpg 1 cow.n.01 | horse.n.01
008189.jpg 2 cow.n.01 | horse.n.01
004409.jpg 1 dog.n.01 | airplane.n.01
004405.jpg 1 dining_table.n.01 | sofa.n.01
004405.jpg 2 chair.n.01 | car.n.01
004405.jpg 3 chair.n.01 | car.n.01
004405.jpg 4 chair.n.01 | sofa.n.01
003685.jpg 1 train.n.01 | airplane.n.01
003684.jpg 1 motorcycle.n.01 | airplane.n.01
004977.jpg 1 dog.n.01 | car.n.01
004977.jpg 2 person.n.01 | horse.n.01
005975.jpg 2 person.n.01 | boat.n.01
008502.jpg 1 car.n.01 | airplane.n.01
004087.jpg 2 bus.n.01 | boat.n.01
008509.jpg 2 dog.n.01 | bird.n.01
008509.jpg 5 person.n.01 | boat.n.01
003750.jpg 1 cow.n.01 | horse.n.01
003750.jpg 2 cow.n.01 | horse.n.01
008293.jpg 1 bus.n.01 | boat.n.01
008293.jpg 2 bus.n.01 | boat.n.01
008293.jpg 4 person.n.01 | boat.n.01
008292.jpg 5 sheep.n.01 | bird.n.01
008292.jpg 6 sheep.n.01 | car.n.01
008294.jpg 2 motorcycle.n.01 | car.n.01
008294.jpg 3 person.n.01 | boat.n.01
008294.jpg 5 car.n.01 | boat.n.01
008299.jpg 1 cow.n.01 | horse.n.01
009051.jpg 1 television_monitor.n.01 | chair.n.01
009051.jpg 3 chair.n.01 | airplane.n.01
009051.jpg 4 chair.n.01 | car.n.01
009051.jpg 5 chair.n.01 | car.n.01
009051.jpg 6 chair.n.01 | sofa.n.01
007077.jpg 3 chair.n.01 | airplane.n.01
007074.jpg 1 bus.n.01 | airplane.n.01
008009.jpg 1 dog.n.01 | airplane.n.01
007070.jpg 1 dog.n.01 | horse.n.01
007071.jpg 1 cat.n.01 | airplane.n.01
007987.jpg 2 bottle.n.01 | car.n.01
007987.jpg 3 person.n.01 | boat.n.01
007984.jpg 3 person.n.01 | boat.n.01
007984.jpg 4 motorcycle.n.01 | car.n.01
007984.jpg 6 person.n.01 | boat.n.01
007984.jpg 8 motorcycle.n.01 | car.n.01
007984.jpg 9 motorcycle.n.01 | boat.n.01
001855.jpg 1 bird.n.01 | airplane.n.01
002935.jpg 2 person.n.01 | boat.n.01
004886.jpg 4 bottle.n.01 | car.n.01
002741.jpg 2 train.n.01 | airplane.n.01
003351.jpg 1 cat.n.01 | boat.n.01
004796.jpg 1 motorcycle.n.01 | car.n.01
004796.jpg 2 motorcycle.n.01 | car.n.01
002565.jpg 1 train.n.01 | airplane.n.01
002030.jpg 7 bottle.n.01 | car.n.01
002030.jpg 10 dining_table.n.01 | horse.n.01
002332.jpg 1 sofa.n.01 | person.n.01
002333.jpg 1 bird.n.01 | boat.n.01
002333.jpg 2 bird.n.01 | airplane.n.01
002337.jpg 2 person.n.01 | boat.n.01
003228.jpg 1 car.n.01 | boat.n.01
003228.jpg 2 person.n.01 | boat.n.01
003228.jpg 4 bus.n.01 | boat.n.01
003228.jpg 5 bus.n.01 | airplane.n.01
007212.jpg 3 chair.n.01 | car.n.01
009247.jpg 1 dining_table.n.01 | car.n.01
009247.jpg 4 chair.n.01 | car.n.01
009247.jpg 5 chair.n.01 | car.n.01
007210.jpg 1 television_monitor.n.01 | airplane.n.01
007211.jpg 1 motorcycle.n.01 | car.n.01
007217.jpg 2 sheep.n.01 | boat.n.01
007215.jpg 1 cow.n.01 | horse.n.01
009244.jpg 1 cat.n.01 | airplane.n.01
007187.jpg 1 sofa.n.01 | chair.n.01
006850.jpg 2 horse.n.01 | boat.n.01
003567.jpg 3 motorcycle.n.01 | boat.n.01
003567.jpg 5 person.n.01 | boat.n.01
003567.jpg 6 motorcycle.n.01 | boat.n.01
003567.jpg 7 motorcycle.n.01 | car.n.01
003567.jpg 8 motorcycle.n.01 | car.n.01
003537.jpg 1 train.n.01 | airplane.n.01
003537.jpg 2 train.n.01 | airplane.n.01
007856.jpg 1 car.n.01 | boat.n.01
002803.jpg 3 chair.n.01 | sofa.n.01
002803.jpg 4 chair.n.01 | car.n.01
002803.jpg 5 chair.n.01 | car.n.01
002803.jpg 6 chair.n.01 | car.n.01
002803.jpg 7 person.n.01 | boat.n.01
007670.jpg 1 motorcycle.n.01 | car.n.01
007670.jpg 2 motorcycle.n.01 | car.n.01
007673.jpg 1 sofa.n.01 | airplane.n.01
007673.jpg 2 dining_table.n.01 | car.n.01
007457.jpg 2 bottle.n.01 | airplane.n.01
006107.jpg 1 train.n.01 | airplane.n.01
007694.jpg 3 person.n.01 | boat.n.01
002248.jpg 1 car.n.01 | boat.n.01
